Transaction_ID,Timestamp,Seller_Vol_Observed,Seller_Temp_F,Seller_Pressure,Buyer_Temp_F,Buyer_Vol_Observed
TXN-10000,2025-11-04 16:59:15.412030,1024.8357076505617,86.99677718293,143.24821725025618,82.90307603550976,1022.9190848371697
TXN-10001,2025-11-04 17:44:15.412030,993.0867849414408,84.62316841456385,148.5548132928448,79.70533238199553,991.9481439915306
TXN-10002,2025-11-04 18:29:15.412030,1032.3844269050346,80.29815184960087,142.0758007900004,78.9997976548488,1032.300392379793
TXN-10003,2025-11-04 19:14:15.412030,1076.1514928204012,76.76531611147213,146.92038470360959,71.91669794748225,1073.1301551645379
TXN-10004,2025-11-04 19:59:15.412030,988.2923312638331,83.49111656806795,131.06385333046214,81.33494721911016,987.4840674179485
TXN-10005,2025-11-04 20:44:15.412030,988.293152152541,81.96742692710875,152.13293707372938,80.22983295053997,987.1938608638785
TXN-10006,2025-11-04 21:29:15.412030,1078.9606407753695,84.47596610013866,150.01205475362224,84.2242184652919,1078.8327080653603
TXN-10007,2025-11-04 22:14:15.412030,1038.3717364576455,83.17585900840984,141.8291136893181,82.91203271911183,1037.9091505244262
TXN-10008,2025-11-04 22:59:15.412030,976.5262807032524,85.24776357659667,156.59245668432405,81.78770729686339,974.672527552431
TXN-10009,2025-11-04 23:44:15.412030,1027.1280021792982,77.32382394219717,159.3757013762656,75.03417897002703,1026.1642162993899
TXN-10010,2025-11-05 00:29:15.412030,976.8291153593768,86.58697032817163,133.92440135631026,85.4543621979911,975.2825743608684
TXN-10011,2025-11-05 01:14:15.412030,976.7135123214872,80.987998023462,142.37275221433785,77.91814649183584,974.1984507586172
TXN-10012,2025-11-05 01:59:15.412030,1012.0981135783018,90.37630436312632,142.308576502127,89.11201377187577,1010.0697779632608
TXN-10013,2025-11-05 02:44:15.412030,904.33598776711,76.55406090955216,140.60096898891135,73.66590213783005,901.4297837047795
TXN-10014,2025-11-05 03:29:15.412030,913.7541083743483,88.67981901582624,158.29474841931747,86.88377528091279,911.7162545113293
